ATE_true,ATE_AIPW_baseline,ATE_IPTW,ATE_AIPW,ATE_IPTW_nomask,ATE_AIPW_nomask
-6973.678727959993,21.132481059581426,-11261.168599703195,-11260.793199104417,-10812.680389587675,-10812.637798176249
-6984.8400520001105,-838.1774033084205,-10067.239045131228,-10067.970155359571,-10125.070847963556,-10125.514218414504
-7136.338787351948,520.4454461148954,-7387.412504046287,-7389.437320758565,-7440.2564886481505,-7442.221520565085
-7077.162883977685,-4370.299883898868,-11473.885386536938,-11473.354139545916,-10187.96037232196,-10188.349723346264
-7088.072014820751,-236.10298604714697,-10251.260484256984,-10251.16205526275,-10250.121414669406,-10250.246690102653
-6968.126388512916,-43.102079656292084,-7741.849078270109,-7744.100442613256,-7915.655750135165,-7917.8464430337035
-7121.91402318274,-2044.1786795304756,-9338.956438676496,-9340.062492811538,-9285.472558213922,-9286.552449943405
-6974.191090676964,-1586.1890527325913,-9335.700150837318,-9336.81202206383,-9381.629932582699,-9382.60955415704
-7065.320617740693,-1539.8307933080184,-10530.435766600334,-10530.545362097688,-10282.498730488369,-10282.985786457788
-6956.861965895911,-30849.58894126248,-9420.553532940805,-9421.807371265475,-9020.391573215942,-9022.041151463683
-6953.419344017659,3952.923291448779,-9774.333149325468,-9775.29825503385,-9567.392582423994,-9568.625505531614
-7043.816162334627,-413.09286092560296,-9790.560752523255,-9791.29868025326,-8772.634790070031,-8774.128703015262
-7032.986096222847,348.2150733015442,-9682.970320024677,-9683.524473020785,-9755.507270612847,-9756.029785930885
-7177.18105013015,-2620.666165531045,-10653.518453309196,-10654.624511127862,-10627.150435514428,-10628.173919151792
-6896.774879508064,-3430.409138655013,-10527.33162410896,-10528.24495353907,-10402.50598085338,-10403.593168239433
-7025.482422355881,-878.7700320896026,-10107.045363624067,-10107.9130721974,-9621.776198974885,-9623.047688304723
-7012.159250613853,1689.532242002992,182.07681081443909,172.61991530557498,-2421.41078991211,-2429.1630375423847
-7017.796566064919,6624.005344825559,-8885.443530879218,-8886.408221248283,-8781.575752732708,-8782.56341597118
-7091.276591774276,1011.583101922598,-8917.84532388761,-8919.417945092078,-8583.737247618383,-8585.596204941017
-7033.363680801847,380.6591765772718,-9770.58711379646,-9770.636572078394,-8646.208432371157,-8646.688593852903
-7076.797085534414,-650.396659766882,-9417.679279905762,-9418.586764900272,-9567.97406324624,-9568.831931940014
-7070.305459645495,-475.9674973995945,-7035.4751970194075,-7037.671915301292,-6767.0373617159175,-6769.399391192314
-7113.849047582285,-570.694619199574,-7026.1774570631615,-7029.286201163952,-7292.006384302449,-7294.775565062275
-6976.475625382259,-4808.53829975552,-9064.52202148141,-9065.656474504953,-9837.589581081356,-9838.298167869674
-6948.6249799290845,-987.4132767327962,-10168.573572547253,-10169.054582806824,-10450.2913570271,-10450.523756380271
-7052.687591334799,7948.878623607214,-8186.920692997718,-8187.959160279359,-8986.16932757654,-8986.75863890588
-6956.633986731296,2692.034645016247,-10094.361105111308,-10095.559269549158,-9986.401539898845,-9987.866712193221
-7031.296049865788,259.70179869498855,-8630.202939895687,-8632.202425566255,-8414.293567203951,-8416.19817290618
-7090.301481196624,2396.631912688826,-5978.2230903531035,-5982.212461483439,-6822.579843942948,-6825.865397789491
-7014.356175650506,335.1893816078231,-7072.363368929101,-7074.141009838269,-7232.392567345458,-7234.131427391442
-7148.986284779013,1674.1158774911066,-8319.435061262257,-8321.267608184982,-7727.592309713548,-7729.845157517303
-6962.424486889084,-357.3129811596559,-9781.489761414028,-9782.599931486653,-11187.900206463533,-11187.670902371705
-6977.959107061012,11424.010602530812,-7330.70253703195,-7333.27721617191,-7382.876205210715,-7385.4140061217195
-6989.244724070902,354.18433236273154,-9370.8668691582,-9371.731801224449,-9628.070755712051,-9628.627757867638
-7032.317602110113,299.3941078316352,-8765.80748891483,-8767.847377145246,-8531.984645601617,-8534.224286957293
